lag_bp	CHM13_REP2	CHM13_REP1	HG002_T2T	RPE1_CENPA	RPE1_CENPB
147	459	611	3286	1161	0
148	395	588	3506	1154	0
149	372	570	3366	1310	0
150	407	623	3164	1340	0
151	454	564	3275	1245	0
152	431	582	3283	1193	0
153	408	590	3180	1329	0
154	458	529	3069	1332	0
155	399	578	3136	1222	0
156	456	515	3113	1220	0
157	473	505	2948	1144	0
158	484	529	2785	1174	0
159	442	532	2903	1126	0
160	417	486	2755	1091	0
161	432	484	2591	1046	0
162	408	439	2498	933	0
163	404	470	2323	918	0
164	414	437	2316	837	0
165	448	445	2155	857	0
166	447	423	2103	766	0
167	424	425	1964	677	0
168	463	487	1756	650	0
169	460	462	1899	637	0
170	484	449	1671	620	0
171	488	464	1599	577	0
172	496	455	1508	516	0
173	441	436	1517	580	0
174	423	432	1431	527	0
175	402	396	1230	504	0
176	464	369	1177	440	0
177	381	402	1090	458	0
178	441	384	1094	438	0
179	378	382	1013	442	0
180	371	368	947	405	0
181	377	403	868	339	0
182	420	341	852	310	0
183	378	382	760	313	0
184	401	371	770	303	0
185	368	338	677	237	0
186	356	335	654	253	0
187	368	396	638	252	0
188	362	342	551	263	0
189	382	388	522	238	0
190	383	353	558	200	0
191	358	344	481	183	0
192	383	373	446	194	0
193	383	356	479	163	0
194	372	344	469	175	0
195	338	316	443	208	0
196	345	336	418	182	0
197	333	332	429	177	0
198	309	335	471	184	0
199	342	310	476	160	0
200	337	286	477	168	0
201	327	284	456	132	0
202	326	289	416	182	0
203	328	275	432	149	0
204	301	257	449	157	0
205	281	272	470	154	0
206	277	277	398	162	0
207	263	279	414	192	0
208	217	238	414	149	0
209	223	235	415	113	0
210	222	235	398	107	0
211	216	227	371	114	0
212	253	209	338	138	0
213	194	183	289	138	0
214	218	189	245	89	0
215	191	186	241	99	0
216	186	196	249	105	0
217	194	172	237	106	0
218	147	189	279	119	0
219	164	152	207	109	0
220	156	193	208	76	0
221	154	164	194	86	0
222	143	165	192	93	0
223	150	192	181	73	0
224	148	181	126	74	0
225	130	163	130	89	0
226	146	159	101	81	0
227	153	176	130	85	0
228	133	163	126	57	0
229	154	151	131	88	0
